
2025/03/18 (12:56:22) | ===> btop++ v.1.4.0
2025/03/18 (12:56:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (12:59:34) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (18:02:45) | ===> btop++ v.1.4.0
2025/03/18 (18:02:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (19:20:30) | ===> btop++ v.1.4.0
2025/03/18 (19:20:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (19:24:21) | WARNING: Failed to join _runner thread on exit!

2025/03/20 (20:22:05) | ===> btop++ v.1.4.0
2025/03/20 (20:22:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (18:38:43) | ===> btop++ v.1.4.0
2025/03/27 (18:38:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/27 (18:38:44) | WARNING: Failed to join _runner thread on exit!

2025/04/01 (14:14:31) | ===> btop++ v.1.4.0
2025/04/01 (14:14:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (20:43:57) | ===> btop++ v.1.4.0
2025/04/01 (20:43:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (19:23:12) | ===> btop++ v.1.4.0
2025/04/10 (19:23:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/10 (19:26:37) | WARNING: Failed to join _runner thread on exit!

2025/04/11 (14:45:47) | ===> btop++ v.1.4.0
2025/04/11 (14:45:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (15:01:48) | ===> btop++ v.1.4.0
2025/04/11 (15:01:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (22:41:45) | ===> btop++ v.1.4.0
2025/04/14 (22:41:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (22:45:45) | ===> btop++ v.1.4.0
2025/04/14 (22:45:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/14 (22:45:47) | WARNING: Failed to join _runner thread on exit!

2025/04/15 (12:27:05) | ===> btop++ v.1.4.0
2025/04/15 (12:27:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (22:16:39) | ===> btop++ v.1.4.0
2025/04/15 (22:16:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/15 (22:20:17) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (14:55:47) | ===> btop++ v.1.4.0
2025/04/19 (14:55:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/19 (14:59:15) | WARNING: Failed to join _runner thread on exit!

2025/04/23 (14:19:08) | ===> btop++ v.1.4.0
2025/04/23 (14:19:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (14:19:34) | ===> btop++ v.1.4.0
2025/04/23 (14:19:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (14:19:35) | ===> btop++ v.1.4.0
2025/04/23 (14:19:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/23 (14:19:39) | WARNING: Failed to join _runner thread on exit!

2025/04/24 (12:05:09) | ===> btop++ v.1.4.0
2025/04/24 (12:05:09) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/24 (12:53:21) | WARNING: Failed to join _runner thread on exit!
